STATION,DATE,AWND,PRCP,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21
USW00012918,8/12/2000,4.25,0,97,74,1,,,,,,,,,,,1,,,1,,,
USW00012918,8/13/2000,6.49,0,97,73,,,,,,,,,,,,,,,,,,
USW00012918,8/14/2000,6.49,0,94,78,,,,,,,,,,,,,,,1,,,
USW00012918,8/15/2000,6.04,0,95,77,,,,,,,,,,,,,,,,,,
USW00012918,8/16/2000,4.7,0,99,75,,,,,,,,,,,,,,,,,,
USW00012918,8/17/2000,6.49,0,98,74,,,,,,,,,,,,,,,,,,
USW00012918,8/18/2000,5.14,0,99,74,,,,,,,,,,,,,,,,,,
USW00012918,8/19/2000,4.92,0,98,75,1,1,,,,,,,,,,1,,,,,,1
USW00012918,8/20/2000,5.59,0,98,73,1,,,,,,,,,,,,,,,,,1
USW00012918,8/21/2000,5.59,0,97,76,1,,,,,,,,,,,1,,,,,,
USW00012918,8/22/2000,5.37,1.35,90,78,1,,1,,,,,,,,,1,,,1,,,
USW00012918,8/23/2000,5.37,0.02,89,77,1,1,1,,,,,1,,,,1,,,1,,,
USW00012918,8/24/2000,3.36,0.03,92,77,1,1,1,,,,,,,,,1,,,1,,,
USW00012918,8/25/2000,3.58,0,93,74,,,,,,,,,,,,,,,,,,
USW00012918,8/26/2000,4.47,0,94,74,,,,,,,,,,,,,,,,,,
USW00012918,8/27/2000,4.7,0,94,75,,,,,,,,,,,,,,,1,,,
USW00012918,8/28/2000,4.7,0,97,75,,,,,,,,,,,,,,,,,,
USW00012918,8/29/2000,4.47,0,98,75,,,,,,,,,,,,,,,,,,
USW00012918,8/30/2000,5.82,0,102,75,,,,,,,,,,,,,,,,,,
USW00012918,8/31/2000,6.71,0,104,77,,,,,,,,,,,,,,,,,,
USW00012918,9/1/2000,8.05,0,104,76,,,1,,,,,,,,,,,,1,,,
USW00012918,9/2/2000,7.61,0,104,79,1,,,,,,,,,,,,,,,,,1
USW00012918,9/3/2000,8.05,0,103,74,,,,,,,,,,,,,,,,,,
USW00012918,9/4/2000,8.05,0,108,78,,,,,,,,,,,,,,,,,,
USW00012918,9/5/2000,4.7,0,107,80,,,1,,,,,,,,,,,,,,,
USW00012918,9/6/2000,8.28,0,94,74,,,,,,,,1,,,,,,,,,,
USW00012918,9/7/2000,10.51,0,94,75,,,,,,,,1,,,,,,,,,,
USW00012918,9/8/2000,10.96,0.11,88,72,1,,,,,,,,,,,1,,,1,,,
USW00012918,9/9/2000,5.59,1,89,75,1,,,,,,,,,,,1,,,1,,,
USW00012918,9/10/2000,4.47,0.08,91,77,,,,,,,,,,,,,,,1,,,
USW00012918,9/11/2000,5.14,0.8,89,76,1,,,,,,,,,,,1,,,1,,,
