"","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE"
"15602",2021-05-17,83100,"BROOKLYN",NA,73,0,NA,NA,TRUE,NA,NA,NA,"25-44","F","BLACK"
"15603",2006-05-28,52800,"BROOKLYN",NA,77,0,NA,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK"
"15604",2008-07-21,45900,"BROOKLYN",NA,75,0,NA,"MULTI DWELL - PUBLIC HOUS",TRUE,"18-24","M","BLACK","<18","M","BLACK"
"15605",2008-07-19,21300,"BROOKLYN",NA,67,0,NA,NA,FALSE,"25-44","M","BLACK","18-24","M","BLACK"
"15606",2021-01-22,79200,"BROOKLYN",NA,73,0,NA,"GROCERY/BODEGA",FALSE,"25-44","M","BLACK","25-44","M","BLACK"
"15607",2018-01-14,78000,"BRONX",NA,43,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,"25-44","M","BLACK","18-24","M","BLACK"
"15608",2017-11-14,83940,"BROOKLYN",NA,61,0,NA,NA,FALSE,NA,NA,NA,"18-24","M","BLACK"
"15609",2012-04-20,68400,"BROOKLYN",NA,73,0,NA,"MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"25-44","M","BLACK"
"15610",2018-08-23,70200,"BROOKLYN",NA,71,0,NA,NA,FALSE,"25-44","M","BLACK","<18","M","BLACK"
"15611",2014-08-29,83880,"BROOKLYN",NA,73,0,NA,"LIQUOR STORE",FALSE,"18-24","M","BLACK","18-24","M","BLACK"
"15612",2009-09-22,55320,"BRONX",NA,40,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,"25-44","M","WHITE HISPANIC","25-44","F","WHITE HISPANIC"
"15613",2014-06-21,9180,"BROOKLYN",NA,60,0,NA,"FAST FOOD",FALSE,"18-24","M","BLACK","25-44","M","BLACK HISPANIC"
"15614",2015-09-28,82800,"MANHATTAN",NA,32,0,NA,NA,FALSE,NA,NA,NA,"25-44","M","BLACK"
"15615",2012-02-05,10440,"MANHATTAN",NA,32,0,NA,"SUPERMARKET",FALSE,NA,NA,NA,"<18","M","BLACK"
"15616",2014-01-20,51720,"BROOKLYN",NA,73,0,NA,NA,FALSE,"18-24","M","BLACK","45-64","M","BLACK"
"15617",2021-09-05,86220,"BRONX",NA,47,0,NA,NA,FALSE,NA,NA,NA,"25-44","M","BLACK"
"15618",2007-01-05,30420,"BRONX",NA,47,0,NA,NA,TRUE,NA,NA,NA,"18-24","M","BLACK"
"15619",2007-08-11,540,"BRONX",NA,42,0,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,"<18","M","BLACK","<18","M","BLACK"
"15620",2010-08-16,77400,"QUEENS",NA,101,2,NA,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"45-64","M","BLACK"
"15621",2022-06-17,69000,"BROOKLYN","OUTSIDE",70,0,"STREET","(null)",FALSE,"18-24","M","BLACK","25-44","M","BLACK"
"15622",2006-05-07,52140,"QUEENS",NA,105,0,NA,"NONE",FALSE,"25-44","M","BLACK","18-24","M","BLACK"
"15623",2018-11-09,80700,"BROOKLYN",NA,77,0,NA,"GROCERY/BODEGA",FALSE,"18-24","M","BLACK","18-24","M","BLACK"
"15624",2016-08-13,17700,"QUEENS",NA,103,0,NA,NA,FALSE,"25-44","M","BLACK","25-44","M","BLACK"
